"pronostico.mean","X95.Lower","X98.Lower","X95.Upper","X98.Upper"
42282648.076799,33672561.8305713,32063044.0472278,50892734.3230267,52502252.1063703
66729486.7504565,58119400.5042288,56509882.7208852,75339572.9966841,76949090.7800277
18476771.2391743,9866684.99294659,8257167.20960302,27086857.485402,28696375.2687455
39409712.9403177,30799626.69409,29190108.9107464,48019799.1865454,49629316.9698889
38176373.8144986,29566287.5682709,27956769.7849273,46786460.0607263,48395977.8440698
35079968.8275619,26469882.5813342,24860364.7979906,43690055.0737896,45299572.8571331
37148254.1677262,28538167.9214985,26928650.1381549,45758340.4139538,47367858.1972974
35237208.7688047,26627122.522577,25017604.7392335,43847295.0150324,45456812.798376
32823620.5094444,24213534.2632167,22604016.4798732,41433706.7556721,43043224.5390157
31339361.7008447,22729275.454617,21119757.6712735,39949447.9470724,41558965.730416
31432183.7629846,22822097.5167569,21212579.7334133,40042270.0092123,41651787.7925559
33767780.0079505,25157693.7617228,23548175.9783793,42377866.2541782,43987384.0375218
32607115.7253993,23539641.4892189,21844622.3435586,41674589.9615797,43369609.10724
56508214.8415205,47440740.6053401,45745721.4596798,65575689.0777009,67270708.2233612
